;Код ДС;состояние площадки;Площадь;Генпроектировщик;Генподрядчик;Кол-во рабочих;date_report
1010;022-0043;;;0;0;;2023.01.20
1012;022-0629;;;0;1;;2023.01.20
1013;022-0170;Свободна, передана;16402.54;1;2;271.0;2023.01.20
1016;022-0526;;18100.0;0;0;;2023.01.20
1017;022-0520;;27225.0;0;0;;2023.01.20
1018;022-0519;;8307.0;0;0;;2023.01.20
1019;022-0515;;5500.0;0;0;;2023.01.20
1021;022-0513;;6892.0;0;0;;2023.01.20
1022;022-0527;Не передана;9850.0;0;0;;2023.01.20
1023;022-0522;Не передана;13260.0;0;0;;2023.01.20
1024;022-0518;;6000.0;0;0;;2023.01.20
1025;022-0631;;;0;2;;2023.01.20
1026;021-0550;Не передана под снос (для объектов сноса);1977.5;2;0;;2023.01.20
1027;022-0355;Не передана под снос (для объектов сноса);;1;2;;2023.01.20
1028;022-0592;;;3;0;;2023.01.20
1029;022-0525;Не передана;9900.0;0;0;;2023.01.20
1030;021-0549;Занята;;0;0;;2023.01.20
1031;022-0707;;;0;0;;2023.01.20
1032;022-0630;;;0;0;;2023.01.20
1033;022-0523;;27225.0;0;0;;2023.01.20
1035;022-0524;;6800.0;0;0;;2023.01.20
1036;022-0528;Не передана;12225.0;0;0;;2023.01.20
1037;022-0354;;20271.0;0;0;;2023.01.20
1038;022-0176;Не передана;17000.0;4;0;;2023.01.20
1040;022-0172;Свободна, передана;;5;3;;2023.01.20
1041;020-0776;Свободна, не передана;3328.02;6;0;;2023.01.20
1042;022-0171;Свободна, передана;6671.21;1;2;130.0;2023.01.20
1043;022-0517;;7000.0;0;0;;2023.01.20
1046;019-0668;Свободна, передана;2766.4;7;4;29.0;2023.01.20
1047;019-0464;Свободна, передана;11837.18;8;5;107.0;2023.01.20
1049;020-0720;Свободна, передана;20164.69;9;6;186.0;2023.01.20
1050;020-0719;Свободна, передана;5149.6;2;7;50.0;2023.01.20
1051;019-0466;Свободна, передана;5270.32;10;1;17.0;2023.01.20
1052;019-0429;Свободна, передана;11410.0;11;7;65.0;2023.01.20
1053;020-0155;Занята;16484.0;8;5;;2023.01.20
1054;019-0428;Свободна, передана;9067.1;12;4;36.0;2023.01.20
1055;020-0684;Занята;2488.6;1;2;;2023.01.20
1056;019-0467;Свободна, передана;11215.0;10;8;61.0;2023.01.20
1057;019-0482;Свободна, снос завершен (для объектов сноса);16442.0;10;8;;2023.01.20
1059;019-0481;Свободна, передана;15122.0;13;9;140.0;2023.01.20
1060;019-0473;Свободна, передана;11507.82;14;10;0.0;2023.01.20
1061;019-0472;Свободна, передана;5318.0;15;11;9.0;2023.01.20
1063;019-0477;Свободна, передана;3592.7;16;12;95.0;2023.01.20
1064;019-0474;Свободна, передана;11561.12;17;13;281.0;2023.01.20
1065;019-0475;Свободна, передана;12032.12;18;14;213.0;2023.01.20
1066;019-0465;Свободна, передана;4624.3;10;8;20.0;2023.01.20
1067;019-0483;Свободна, передана;16366.63;19;11;326.0;2023.01.20
1068;019-0469;Свободна, передана;9411.0;20;1;113.0;2023.01.20
1069;019-0478;Свободна, передана;21197.0;20;3;97.0;2023.01.20
1070;020-0151;Занята;4080.0;21;15;;2023.01.20
1071;019-0480;Свободна, передана;15070.6;10;8;350.0;2023.01.20
1072;019-0431;Свободна, передана;19433.4;22;16;213.0;2023.01.20
1073;019-0430;Свободна, не передана;16094.4;23;15;;2023.01.20
1074;019-0463;Свободна, передана;5245.4;24;12;57.0;2023.01.20
1075;020-0710;Свободна, передана;8067.83;8;5;97.0;2023.01.20
1076;020-0708;Свободна, передана;6575.0;25;17;0.0;2023.01.20
1078;019-0471;Свободна, передана;11500.0;20;8;342.0;2023.01.20
1079;019-0675;Свободна, передана;8844.0;26;18;128.0;2023.01.20
1080;020-0712;Свободна, передана;6671.21;8;5;91.0;2023.01.20
1081;020-0709;Свободна, не передана;6848.84;27;1;98.0;2023.01.20
1082;021-0050;;;0;0;;2023.01.20
1083;020-0683;Свободна, не передана;7515.86;27;1;33.0;2023.01.20
